Wavelength,Toluene,EtOH,DMF,ACN,MeOH,Hexanes,Acetone
604,0.021237002,0.023569461,0.022264166,0.022038669,0.020973187,0.025590455,0.022432671
603,0.021162064,0.023466331,0.022333571,0.021958909,0.020863909,0.025553334,0.022487245
602,0.021388167,0.023501907,0.022323433,0.022098014,0.02091356,0.025593832,0.022615557
601,0.021474648,0.023550085,0.022405386,0.022177091,0.020976284,0.025818106,0.022758719
600,0.021558019,0.023528523,0.022456577,0.022111769,0.021136272,0.025863849,0.022710357
599,0.021703635,0.023738227,0.022433516,0.022282749,0.021194027,0.025790526,0.022808069
598,0.0216912,0.023660287,0.022320136,0.022212644,0.021160841,0.025731909,0.022651064
597,0.021319266,0.02338721,0.022138681,0.021797229,0.020789579,0.025423108,0.022447472
596,0.021275223,0.023364482,0.022009911,0.021856515,0.020773096,0.025470648,0.022536128
595,0.02124551,0.023335391,0.022264466,0.021901896,0.020630315,0.025433758,0.022547879
594,0.02116451,0.023132407,0.02206288,0.021710711,0.020653498,0.025494338,0.02232376
